classifier,params,fold,accuracy
MLP,"{'hidden_layer_sizes': (100, 100)}",7.0,0.5641150658215505
MLP,"{'hidden_layer_sizes': (100, 100)}",8.0,0.5397367137981472
MLP,"{'hidden_layer_sizes': (100, 100)}",9.0,0.5416869819600195
MLP,"{'hidden_layer_sizes': (512,)}",0.0,0.5487329434697856
MLP,"{'hidden_layer_sizes': (512,)}",1.0,0.5029239766081871
MLP,"{'hidden_layer_sizes': (512,)}",2.0,0.5460750853242321
MLP,"{'hidden_layer_sizes': (512,)}",3.0,0.5426621160409556
MLP,"{'hidden_layer_sizes': (512,)}",4.0,0.49878108239882984
MLP,"{'hidden_layer_sizes': (512,)}",5.0,0.529985372988786
MLP,"{'hidden_layer_sizes': (512,)}",6.0,0.5309605070697221
MLP,"{'hidden_layer_sizes': (512,)}",7.0,0.5421745490004876
MLP,"{'hidden_layer_sizes': (512,)}",8.0,0.5246221355436372
MLP,"{'hidden_layer_sizes': (512,)}",9.0,0.5411994149195515
MLP,"{'hidden_layer_sizes': (1028,)}",0.0,0.5248538011695907
MLP,"{'hidden_layer_sizes': (1028,)}",1.0,0.47953216374269003
MLP,"{'hidden_layer_sizes': (1028,)}",2.0,0.5504631886884447
MLP,"{'hidden_layer_sizes': (1028,)}",3.0,0.5358361774744027
MLP,"{'hidden_layer_sizes': (1028,)}",4.0,0.530472940029254
MLP,"{'hidden_layer_sizes': (1028,)}",5.0,0.523159434422233
MLP,"{'hidden_layer_sizes': (1028,)}",6.0,0.5363237445148707
MLP,"{'hidden_layer_sizes': (1028,)}",7.0,0.530472940029254
MLP,"{'hidden_layer_sizes': (1028,)}",8.0,0.5236470014627012
MLP,"{'hidden_layer_sizes': (1028,)}",9.0,0.5475377864456362
xgb,{},0.0,0.5014619883040936
xgb,{},1.0,0.4853801169590643
xgb,{},2.0,0.5363237445148707
xgb,{},3.0,0.5246221355436372
xgb,{},4.0,0.5046318868844466
xgb,{},5.0,0.4826913700633837
xgb,{},6.0,0.523159434422233
xgb,{},7.0,0.5358361774744027
xgb,{},8.0,0.49731838127742567
xgb,{},9.0,0.499756216479766
xgb,{'n_estimators': 10},0.0,0.4702729044834308
xgb,{'n_estimators': 10},1.0,0.45760233918128657
xgb,{'n_estimators': 10},2.0,0.5036567528035105
xgb,{'n_estimators': 10},3.0,0.5017064846416383
xgb,{'n_estimators': 10},4.0,0.4783032666991711
xgb,{'n_estimators': 10},5.0,0.4680643588493418
xgb,{'n_estimators': 10},6.0,0.48951730862993664
xgb,{'n_estimators': 10},7.0,0.499756216479766
xgb,{'n_estimators': 10},8.0,0.4680643588493418
xgb,{'n_estimators': 10},9.0,0.4666016577279376
xgb,{'n_estimators': 100},0.0,0.5014619883040936
xgb,{'n_estimators': 100},1.0,0.4853801169590643
xgb,{'n_estimators': 100},2.0,0.5363237445148707
xgb,{'n_estimators': 100},3.0,0.5246221355436372
xgb,{'n_estimators': 100},4.0,0.5046318868844466
xgb,{'n_estimators': 100},5.0,0.4826913700633837
xgb,{'n_estimators': 100},6.0,0.523159434422233
xgb,{'n_estimators': 100},7.0,0.5358361774744027
xgb,{'n_estimators': 100},8.0,0.49731838127742567
xgb,{'n_estimators': 100},9.0,0.499756216479766
