gameId,orig_trialNum,repNum,correct_tangram,words
22dyGMRgestp8u5Lc,0,0,C,jumping off building with hands in the air
22dyGMRgestp8u5Lc,1,0,G,like the a high heeled shoe tough one
22dyGMRgestp8u5Lc,2,0,H,no arms not legs like a necktie with the bottom turned slightly to the right
22dyGMRgestp8u5Lc,3,0,B,like a baby sitting on floor with arms out and a bow on the back of her head she is facing left and the bow in on the right
22dyGMRgestp8u5Lc,4,0,K,"kneeling in gown with Bible in hand, facing to the right heel up in back"
22dyGMRgestp8u5Lc,5,0,L,"Starting to stand after kneeling facing right, Bible still in hand"
22dyGMRgestp8u5Lc,6,0,A,"standing, but falling backward facing left right foot in the air arms out"
22dyGMRgestp8u5Lc,7,0,D,Priest standing up straight facing left reading from Bible
22dyGMRgestp8u5Lc,8,0,F,Guy relaxing in the park facing left arms to side (not visible) knees up
22dyGMRgestp8u5Lc,9,0,I,"standing, but falling forward left leg on ground right foot in air arms out to catch himself face left"
22dyGMRgestp8u5Lc,10,0,E,kid facing right sitting on butt knees up slightly wearing bunny ears
22dyGMRgestp8u5Lc,11,0,J,aaagh!! right half of a bowl or plant pot showing with a triangle on the top right edge not the very edge
22dyGMRgestp8u5Lc,12,1,K,Kneeling with bible facing to the right Heel up
22dyGMRgestp8u5Lc,13,1,L,Standing up from kneeling Bible still in hand
22dyGMRgestp8u5Lc,14,1,C,Falling off building Arms in air
22dyGMRgestp8u5Lc,15,1,D,Priest standing with bible Facing to the left
22dyGMRgestp8u5Lc,16,1,E,Bunny ears
22dyGMRgestp8u5Lc,17,1,A,"Falling backwards, facing left, arms out"
22dyGMRgestp8u5Lc,18,1,J,Half a pot with triangle on top
22dyGMRgestp8u5Lc,19,1,H,no arms or legs
22dyGMRgestp8u5Lc,20,1,G,"high heel shoe, facing left"
22dyGMRgestp8u5Lc,21,1,B,"baby looking up with arms out, bow on back of head"
22dyGMRgestp8u5Lc,22,1,I,"arms out in front, back leg up, facing left"
22dyGMRgestp8u5Lc,23,1,F,"sitting down, facing left, no arms visible"
22dyGMRgestp8u5Lc,24,2,H,No arms or legs upright
22dyGMRgestp8u5Lc,25,2,B,baby facing left sitting down bow in back of head
22dyGMRgestp8u5Lc,26,2,I,guy falling forward and left one leg up in back
22dyGMRgestp8u5Lc,27,2,E,kid sitting with bunny ears
22dyGMRgestp8u5Lc,28,2,L,starting to stand with Bible facing right
22dyGMRgestp8u5Lc,29,2,D,Priest standing facing left with Bible
22dyGMRgestp8u5Lc,30,2,F,guy relaxing in park facing left arms not visible
22dyGMRgestp8u5Lc,31,2,C,jumping off building to the left arms up
22dyGMRgestp8u5Lc,32,2,K,kneeling to right with Bible
22dyGMRgestp8u5Lc,33,2,J,half a bowl or pot with a triangle on top
22dyGMRgestp8u5Lc,34,2,G,high heel shoe
22dyGMRgestp8u5Lc,35,2,A,facing left one leg up arms up falling backward
22dyGMRgestp8u5Lc,36,3,F,"guy sitting in park, no arms visible, facing left"
22dyGMRgestp8u5Lc,37,3,G,high heel shoe
22dyGMRgestp8u5Lc,38,3,B,"baby looking up, bow in back of head"
22dyGMRgestp8u5Lc,39,3,E,bunny ears
22dyGMRgestp8u5Lc,40,3,A,"guy falling backward, arms out in front out*"
22dyGMRgestp8u5Lc,41,3,K,"priest kneeling with Bible, heel up"
22dyGMRgestp8u5Lc,42,3,J,half a pot with triangle on top
22dyGMRgestp8u5Lc,43,3,D,"priest holding Bible, facing left"
22dyGMRgestp8u5Lc,44,3,I,"man with arms out front, back leg up, facing left"
22dyGMRgestp8u5Lc,45,3,H,"no arms or legs, upright"
22dyGMRgestp8u5Lc,46,3,C,jumping off building with arms out front
22dyGMRgestp8u5Lc,47,3,L,"standing up from kneeling, facing right"
22dyGMRgestp8u5Lc,48,4,D,priest standing facing left with Bible
22dyGMRgestp8u5Lc,49,4,I,facing left falling arms out one leg up
22dyGMRgestp8u5Lc,50,4,G,high heel shoe
22dyGMRgestp8u5Lc,51,4,J,half pot or bowl with triangle on top
22dyGMRgestp8u5Lc,52,4,A,falling backward (sorry) facing left with arms up one leg out
22dyGMRgestp8u5Lc,53,4,C,jumping off building arms up
22dyGMRgestp8u5Lc,54,4,E,bunny ears
22dyGMRgestp8u5Lc,55,4,F,relaxing in park
